Label, F1,F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13
b,0,1,111.8033989,1.107148718,93,0,1,247.9149699,-3.141592654,10.08764024,12.7764952,0.9140625,813
b,0.447213595,0.894427191,113.8507795,0.897427126,72.1734023,0.069277599,0.997597421,290.6488892,-2.35619449,12.89366856,13.78342664,1.622222222,719
b,0,1,120.4159458,1.01043645,84.00595217,0.011903918,0.999929146,307.6868984,-9.424777961,13.17572066,13.76795782,1.604444444,735
b,0,1,99.04544412,0.957588978,65.06919394,0.046104767,0.99893661,297.4737521,-3.141592654,10.83971926,13.30715193,5.44,703
b,0,1,79.17701687,1.084553694,66.12110102,0.06049506,0.998168497,170.6558713,-1.570796327,20.99353059,29.75434306,0.765625,969
b,0,1,110.6797181,0.965251663,85,0,1,262.9544093,0.785398163,13.44212317,22.20277643,1.56640625,781
b,0,1,147.3295625,1.158774537,131.5484702,-0.091221129,0.995830661,307.1786386,-4.957367644,12.52913173,16.51548151,2.56,609
b,0,1,119.40268,1.19340036,105,0,1,247.668401,-3.141592654,13.62029973,16.24754791,6.124444444,704
b,0.164398987,0.986393924,121.2476804,0.955340668,91.00549434,-0.208778603,0.977962931,270.536512,-7.853981634,13.02321506,13.22453533,1.44,656
b,0,1,96.5194281,0.97704666,68.26419266,-0.08789381,0.99612985,226.1142092,-3.141592654,11.56016306,13.22408584,0.9453125,719
b,0,1,71.55417528,1.107148718,57,0,1,139.0129663,-2.35619449,13.84082336,15.91185335,0.67578125,922
b,0.447213595,0.894427191,89.04493248,1.001483136,69.64194139,0.2728241,0.962063933,181.9733362,-1.570796327,11.03027796,13.24886924,1.14453125,750
b,0.554700196,-0.832050294,259.4224354,1.089909047,148.2194319,0.809610443,-0.586967571,621.7949851,12.56637061,19.67249113,17.5440901,4.6328125,1109
b,0.894427191,-0.447213595,207.6174366,1.180451269,89.94442729,0.878320118,-0.478072976,489.5167806,14.13716694,23.50241068,28.97809778,4.0625,1125
b,-0.124034735,0.992277877,196.4204674,1.00680041,166.0271062,0.018069339,0.999836736,437.1452939,6.604935862,7.947820681,2.210637562,3.022222222,781
c,-0.707106781,-0.707106781,89.05054744,0.960990325,58.52349955,0.290481604,0.956880577,140.4121904,5.270988296,8.763765273,6.425464126,1.444444444,406
c,-0.928476691,-0.371390676,67.47592163,0.879853099,47.5394573,-0.252421897,0.967617272,108.4566611,3.463343208,4.237094643,1.584925918,0.640625,312
c,-0.707106781,-0.707106781,65.4599114,0.970082543,49.81967483,-0.18065152,0.983547166,107.2488018,4.71238898,6.283185307,4.7956562,0.39453125,375
c,-0.8,-0.6,114.621115,0.946490068,76.32168761,-0.091717049,0.995785109,192.2438472,3.141592654,9.514187169,7.302593493,1.26953125,437
c,-1,0,94.36630755,0.702879209,64.41273166,-0.465746433,0.884918222,149.6649261,3.141592654,4.758892226,1.45035807,1,437
c,-0.868243142,-0.496138938,97.08243919,0.850997335,63.69458376,-0.376798129,0.926295401,155.4816159,4.193242866,5.061358744,1.840725607,1.035555556,422
c,0,-1,75.00666637,0.823116116,34.43835072,0.435560928,0.900159251,133.0922856,6.283185307,11.0632455,8.997487339,0.59765625,500
c,-0.707106781,-0.707106781,100.6031809,0.919343099,68.15423685,-0.249434236,0.96839174,160.5345824,5.497787144,5.886063629,3.078659562,2.142222222,375
c,-0.857492926,-0.514495755,87.8179936,1.046000555,62.12889827,-0.064382278,0.997925309,142.9702088,5.497787144,7.995878689,5.173953535,0.953125,375
c,-0.554700196,-0.832050294,96.25487001,1.000083067,61.13100686,-0.26173297,0.965140328,153.1588443,4.653633158,5.048424277,1.755342871,1.58203125,328
c,-0.707106781,-0.707106781,84.38009244,1.022246924,63.95310782,-0.172001023,0.985096771,128.7938224,4.390638426,6.321141752,2.778060576,0.6953125,375
c,-0.707106781,-0.707106781,77.80102827,0.922153875,50.48762225,0.138647845,0.990341747,134.3649339,3.141592654,11.11003908,10.83121681,0.87890625,453
c,-0.980580676,-0.196116135,108.0462864,1.036725948,87,0,1,168.3854149,3.141592654,6.528120698,3.257367766,1.31640625,407
c,-0.894427191,-0.447213595,122.6417547,0.953390435,79.42921377,-0.188847394,0.982006447,198.9609697,3.926990817,9.469111228,6.461363027,1.90625,485
c,-0.832050294,-0.554700196,96.8297475,0.902506908,54.14794548,0.073871686,0.997267754,175.3990507,4.390638426,5.034139535,1.512019406,2.5390625,390
c,-0.894427191,-0.447213595,108.1665383,0.982793723,78.64477096,-0.203446457,0.979086073,170.6583663,4.390638426,6.927686082,2.645809966,1.45703125,422
c,-0.948683298,-0.316227766,108.0046295,0.936554213,77.66595136,-0.206010481,0.978549785,169.704303,4.71238898,10.4186699,7.63514755,1.315555556,438
c,-0.242535625,0.9701425,140.4706375,1.081676521,96.17692031,0.155962573,0.987762965,280.2482758,3.605240263,11.79603389,11.19553612,1.568888889,750
c,0,1,117.9915251,1.027469858,70.06425622,-0.042817838,0.999082896,234.4909344,3.141592654,14.2803241,8.633027164,0.80078125,828
c,-0.099503719,0.99503719,91.24143795,1.092443895,55.22680509,0.090535746,0.995893206,182.3130744,3.141592654,12.11629404,11.00268044,0.662222222,781
d,-0.196116135,0.980580676,136.1249426,1.202567641,124.9039631,-0.120092266,0.992762735,236.95637,8.317629243,10.80182907,12.63662807,3.022222222,750
d,0.447213595,0.894427191,132.4009063,1.191692473,98.24968193,0.07124705,0.9974587,247.8811943,8.961130352,12.90386999,13.93422363,1.137777778,782
d,0.316227766,0.948683298,86.53900855,1.179560748,71.11258679,-0.056248833,0.998416781,179.864773,8.639379797,14.05801799,16.65930606,0.66015625,750
d,0,1,87.23531395,1.132784126,70.25667228,-0.085401141,0.996346649,170.5906465,9.424777961,12.17157949,14.27350634,1.137777778,719
d,0,1,108.3005078,1.069975767,85.98837131,-0.151183233,0.988505756,246.3521922,8.317629243,13.87193237,16.07789009,1.7578125,672
d,0,1,95.50916186,1.262290031,85.0529247,-0.035272156,0.999377744,178.6002751,3.141592654,11.14911807,9.106376227,1.890625,687
d,0,1,105.1189802,1.128422104,80.50465825,-0.111794773,0.993731316,210.9826378,3.141592654,13.01644719,11.63560235,1.302222222,672
d,0,1,88.76936408,1.177738308,74.06078585,-0.040507267,0.999179244,177.8562302,9.424777961,12.92607761,15.37884837,1.5625,687
d,0,1,90.24965374,1.196462711,76.02631123,-0.026306682,0.999653919,214.8086203,1.570796327,11.70199678,12.50004531,1.284444444,719
d,0,1,96.7729301,1.167261392,76.02631123,0.026306682,0.999653919,196.2849869,9.424777961,13.09887471,17.62855867,0.47265625,703
d,-0.447213595,0.894427191,96.56603958,1.298186507,85.00588215,-0.011763892,0.999930803,175.381677,10.21017612,12.45273177,16.84093779,1.782222222,860
d,0,1,119.8540779,1.256961174,105.0428484,-0.028559774,0.999592086,233.9417033,3.141592654,9.891525497,11.77392764,1.137777778,750
d,0,1,103.8171469,1.206388738,89.0056178,0.011235246,0.999936883,214.6512968,9.424777961,10.58058183,13.62001823,1.137777778,735
d,0.707106781,0.707106781,85.42247948,1.096677896,45.70557953,0.175033335,0.984562508,197.8057046,7.853981634,13.07879685,15.70674403,0.87890625,735
d,0,1,101.5923225,1.208569449,83.00602388,-0.012047318,0.999927428,199.9342681,9.424777961,12.67736762,14.91761673,1.41015625,750
d,0,1,104.6518036,1.115695518,84.29116205,-0.08304548,0.996545758,211.4086494,9.424777961,10.70363795,12.99132955,1.084444444,969
d,0.141421356,0.989949494,76.89603371,1.212025657,70.25667228,-0.085401141,0.996346649,133.4198752,1.249045772,17.28334992,15.61978489,1.14453125,734
d,-0.242535625,-0.9701425,196.773982,1.107148718,58.24946352,0.978549785,0.206010481,525.6582201,12.30011857,13.75099333,5.356338318,6.195555556,984
